wikidataId,link
[Q120812](https://www.wikidata.org/wiki/Q120812),absolute value|https://mathgloss.github.io/MathGloss/chicago/absolute_value
[Q181296](https://www.wikidata.org/wiki/Q181296),abelian|https://mathgloss.github.io/MathGloss/chicago/abelian
